region,product,year,rev_op_type,sales_budget_type,total,h1,h2,q1,q2,q3,q4,ytd
AZ,CDE,2024,Gross,Actual,6087904672,3048385165,3039519507,2608445044,439940121,2606229171,433290336,3048385165
AZ,CDE,2024,Gross,Budget,7428371116,4087371532,3340999584,2569835676,1517535856,2361861458,979138126,4087371532
AZ,CDE,2024,Gross,Forecast,4203374887,2489003330,1714371557,1411450986,1077552344,693022680,1021348877,2489003330
AZ,CDE,2024,Net,Actual,6619487565,2709591008,3909896557,1799617964,909973044,2888729189,1021167368,2709591008
AZ,CDE,2024,Net,Budget,5617825054,2430309843,3187515211,802224008,1628085835,2553074707,634440504,2430309843
AZ,CDE,2024,Net,Forecast,3477362048,1351721478,2125640570,334836208,1016885270,1849994583,275645987,1351721478
AZ,CDE,2024,Op,Actual,4622722407,3617403984,1005318423,1324939271,2292464713,818122170,187196253,3617403984
AZ,CDE,2024,Op,Budget,7125445594,3254141489,3871304105,1254058051,2000083438,2963231769,908072336,3254141489
AZ,CDE,2024,Op,Forecast,3653514539,1988441631,1665072908,1326087747,662353884,1411805673,253267235,1988441631
AZ,CDE,2025,Gross,Actual,4024424362,2272050138,1752374224,648703005,1623347133,822916225,929457999,2272050138
AZ,CDE,2025,Gross,Budget,6216083094,2599115245,3616967849,863561285,1735553960,2557053588,1059914261,2599115245
AZ,CDE,2025,Gross,Forecast,5877736872,3250949078,2626787794,1372464101,1878484977,2430123900,196663894,3250949078
AZ,CDE,2025,Net,Actual,4399975576,2842833424,1557142152,1660212122,1182621302,1387044834,170097318,2842833424
