region,product,year,rev_op_type,sales_budget_type,ytd_gap,budget_hit_rate,yoy_total,yoy_h1,yoy_h2,yoy_q1,yoy_q2,yoy_q3,yoy_q4,breakeven_month
AZ,CDE,2024,Gross,Actual,-1038986367,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AZ,CDE,2024,Gross,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Gross,Forecast,-1598368202,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Net,Actual,279281165,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AZ,CDE,2024,Net,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Net,Forecast,-1078588365,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Op,Actual,363262495,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AZ,CDE,2024,Op,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Op,Forecast,-1265699858,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2025,Gross,Actual,-327065107,87,0.6611,0.7453,0.5765,0.2487,3.6899,0.3157,2.1451,
AZ,CDE,2025,Gross,Budget,0,100,0.8368,0.6359,1.0826,0.336,1.1437,1.0826,1.0825,
AZ,CDE,2025,Gross,Forecast,651833833,125,1.3983,1.3061,1.5322,0.9724,1.7433,3.5066,0.1926,
AZ,CDE,2025,Net,Actual,-259220179,92,0.6647,1.0492,0.3983,0.9225,1.2996,0.4802,0.1666,1.0
AZ,CDE,2025,Net,Budget,0,100,0.6689,1.2764,0.2057,1.1151,1.3559,0.1931,0.2565,
AZ,CDE,2025,Net,Forecast,-161531627,95,1.8798,2.1754,1.6918,2.3289,2.1249,1.5363,2.7359,
AZ,CDE,2025,Op,Actual,2098258698,181,1.5311,1.2941,2.3837,1.8043,0.9992,1.5284,6.1221,1.0
