product,year,region,rev_op_type,sales_budget_type,month,amount
CDE,2024,AZ,Gross,Actual,Apr,81035550
CDE,2024,AZ,Gross,Actual,Aug,162210573
CDE,2024,AZ,Gross,Actual,Dec,24481805
CDE,2024,AZ,Gross,Actual,Feb,10251675
CDE,2024,AZ,Gross,Actual,Jan,1019835217
CDE,2024,AZ,Gross,Actual,Jul,906939403
CDE,2024,AZ,Gross,Actual,Jun,23042109
CDE,2024,AZ,Gross,Actual,Mar,1578358152
CDE,2024,AZ,Gross,Actual,May,335862462
CDE,2024,AZ,Gross,Actual,Nov,268899939
CDE,2024,AZ,Gross,Actual,Oct,139908592
CDE,2024,AZ,Gross,Actual,Sep,1537079195
